,Properties,frequency
7381,Strain-Hardening Response,4
7379,Ferromagnetic phases,4
4702,Friction Strength,4
5416,Threshold Stress,4
5415,Duplex-phase Structure,4
3345,Chip Integrity,4
5411,Detection Range,4
3347,Soft,4
4705,Irreversibility Field,4
4558,Compressive Mechanical Behaviors,4
4557,CoF,4
8413,Linear Thermal Expansion Coefficient,4
3349,Phonon Dispersion,4
4556,Boride layer thickness,4
4718,Total Elongation-to-Failure,4
4540,Planar Defects,4
6941,Martens hardness,4
7456,Cracking Mechanisms,4
5459,Gaseous hydrogen storage,4
6721,Chemical Inertness,4
4604,Electrical conduction,4
4599,Pseudocapacitive,4
4598,Pseudocapacitive Nature,4
4597,Capacitive Properties,4
4592,Pore Size Distribution,4
5913,Friction Coefficients,4
5449,Crack Growth Resistance,4
7383,Magnetic ordering,4
4588,Morphology Integrity,4
4587,Li-diffusivity,4
4585,Rate reversibility,4
4584,Fast charging ability,4
6749,Magnetic Hysteresis Loss,4
6748,Thermal Hysteresis Loss,4
5441,Ferromagnetic Transition,4
6931,High-Temperature Tribological Performance,4
4583,Rate capability,4
7734,Tensile strengths,4
5438,Processing temperature,4
5437,Melting behavior,4
4581,Amorphous Property,4
8423,Wave speed,4
4580,Raman Peaks,4
5862,Lower Strength,4
5509,Strain-Hardening Capacity,4
4446,Compression Property,4
4894,Activation properties,4
3456,Strength-Plasticity Synergy,4
7140,Electrocatalytic stability,4
4854,Solar energy harvesting,4
7125,Lattice Misfit,4
7128,Passive-film Properties,4
5660,Structural Homogeneity,4
6325,Surface topography,4
6174,Stacking Fault Tetrahedra,4
4148,Thermal Cycling Behavior,4
7546,Cubic phase,4
6314,Pauling electronegativity,4
6313,Work function,4
4855,Solar-thermal performance,4
5670,Percent loss of elongation,4
5263,Defect Concentration,4
4856,Temperature response,4
4655,OER Properties,4
6312,Mean atomic radius,4
7282,Cellular Structures,4
7146,Spin-Glass,4
7267,Dislocation Properties,4
5009,Magnetic viscosity,4
5679,Fracture Type,4
6186,Fuel Retention,4
6189,Nominal Shear Stress,4
3891,Oxyphilic Nature,4
6331,Macroscopic hardness,4
6332,Microscopic hardness,4
3843,Dislocation Network,4
6341,B2 Phase,4
4847,Solar energy harvesting capability,4
4198,High-temperature Resistance,4
3772,Creep Stress,4
6415,Isothermal Entropy Changes,4
8253,Compositional,4
8226,Slurry erosion rate,4
5647,Phase transition parameters,4
5046,Creep Ductility,4
8216,Interface Strength,4
6384,Vickers Indentation Fracture Toughness,4
8200,Nano Indentation,4
7306,Soft magnetic alloy,4
4849,Solar Absorptivity,4
7604,Vickers' micro-hardness,4
4187,Burgers Vector,4
5767,Phase Boundaries,4
4182,Strength-to-Weight Ratio,4
4850,Thermal Emissivity,4
4852,Solar-Thermal Performance,4
8199,High-temperature wear performance,4
6145,HER performance,4
3822,Phase constitution,4
6347,Thermal-oxidative Resistance,4
3892,Adsorption Energies,4
4115,Solid-solution forming tendency,4
3900,Defect Counts,4
7181,Oxide Thickness,4
7882,Deformation Plateau,4
7883,Compressive plasticity,4
6864,Nanocrystallinity,4
6253,Hexagonal,4
5731,Volumetric Energy Density,4
4917, -Al2O3,4
5748,Self-Corrosion Potential,4
7211,Liquid-phase Separation,4
7216,Tc,4
4043,Helium Bubbles,4
4901,TGO Layer,4
4003,Damping Behavior,4
4004,Damping Performance,4
8086,Elastocaloric properties,4
4006,Electrolysis Stability,4
8085,Microstructural properties,4
8084,Isofield magnetization,4
6239,Interface Bonding Strength,4
4024,Dislocation Behavior,4
4897,Cycling performance,4
4896,Hydrogen desorption kinetics,4
8083,Thermally driven martensitic transformation,4
4032,Low Overpotentials,4
5708,g-factor,4
7881,Peak Stresses,4
6190,Twinning Induced Plasticity,4
6226,Coarse Grain Size,4
4108,Nano-mechanical Properties,4
3904,Figure-of-merit,4
6311,Deformation twinning,4
4107,H/E ratio,4
4093,Surface Wettability,4
4982,Dry Wear Resistance,4
4092,UOR Performance,4
8109,Brittle-Ductile Transition,4
3921,Tribo-Corrosion Resistance,4
8108,Irradiation Depth,4
4081,Eutectic Microstructure,4
4949,Average grain size,4
7175,Compressive Stress Strain Curves,4
6220,Heterogeneous Structure,4
6295,Defect Diffusion,4
4873,Grain Boundary Precipitates,4
4072,Strain Gradient,4
4880,Twin Boundary Energy,4
4068,Passive Film Characteristics,4
6222,Reaction Layer Thickness,4
4067,Corrosion Behaviour,4
3964,Antiviral activity,4
5707,Electron properties,4
4200,Maximum Compression Ratio,4
7906,Twinning Energy,4
4845,Dielectric Characteristics,4
5192,Nano-twinning,4
5995,Lattice energy,4
4895,Hydrogen absorption kinetics,4
5996,Ionic bond strength,4
3533,Film Thickness,4
4376,Phase analysis,4
3539,Fracture behavior,4
6002,BCC microstructure,4
7657,Shape Recovery,4
6528,Defect mobility,4
4358,Texture Evolution,4
5178,Flow rate,4
3565,Paramagnetic Properties,4
5820,Electrocatalysts,4
4342,Thermal Boundary Conductance,4
4341,Interface Thermal Resistance,4
5554,Mismatch,4
7086,Hydrogen Permeability,4
3569,hardness,4
3570,ultimate tensile strength,4
4789,BCC/B2,4
3571,stacking fault energy,4
3572,enthalpy,4
3573,entropy,4
5994,Thermal Phase Stability,4
7670,zT max,4
3575,mean melting point,4
7671,Melting Viscosity,4
6578,Water Contact Angle,4
3460,Peak Magnetic Entropy,4
4439,OER Catalytic Performance,4
8347,Disordering Resistance,4
4734,Pulverization degree,4
5538,Remanent induction,4
5540,Induction,4
4426,Transverse Sound Velocity,4
4425,Longitudinal Sound Velocity,4
5242,Strain at Fracture,4
4742,Volume expansion,4
5838,HER activities,4
8338,Transformation-Induced Hardening,4
3474,Saturation Moment,4
7802,Adiabatic Temperature,4
4755,Heat Storage Capacity,4
5236,Interfacial Toughness,4
5546,Grain-boundary strengthening,4
4406,GND Density,4
5980,AC Magnetic Properties,4
5982,Nano-indentation Hardness,4
5991,Bubble Diameter,4
3504,Critical Normal Stress,4
3574,valence electron concentration,4
4790,BCC/B2 Phase,4
3757,Valence Electrons,4
4291,Thermal Conduction,4
7816,Compressive Tests,4
4282,Elastic stability,4
4279,Oxide type,4
5782,Work-hardening Capacity,4
4278,Dense Packing Degree,4
7608,C15 phase,4
7607,BCC#2 phase,4
7316,Phase distributions,4
5773,Softening Temperature,4
7541,Band-gap Energy,4
4256,Dislocation Mechanisms,4
4248,Interlamellar Spacing,4
7606,Solvus temperature,4
4247,Microstructure Morphologies,4
7605,Gibbs energy,4
3735,Aqueous Corrosion Resistance,4
3738,Dislocation Accumulation,4
6118,Chemical short-range order,4
4243,Compressive Plastic Strains,4
4843,Solar-thermal conversion efficiency,4
6122,Saturation rate,4
5625,Strain-hardening Ability,4
3754,Critical Pitting Potential,4
6447,Potentiodynamic Polarization,4
6464,Stacking Defects,4
3576,electronegativity difference,4
3681,Shear Moduli,4
4799,Compositional Homogeneity,4
4802,Shear test,4
6517,Functional Stability,4
4317,Inhomogeneity,4
6516,Stress Threshold,4
6515,Hysteresis Cycle,4
4809,Tribological Behavior,4
3599,Monoclinic,4
4314,Alloying Elements,4
3608,Low-Cycle Fatigue Life,4
8284,He Concentrations,4
7526,Peak Entropy Change,4
5569,Zr5Al3,4
6496,Interstitial Solid Solution Hardening,4
3609,Particle size distribution,4
5468,Charge retention,4
3619,Temperature Susceptibility,4
7809,Hydrogen Storage Kinetics,4
5139,Plastic Flows,4
4822,PLC Effect,4
8067,SIMT,4
7630,Hot Corrosion Behavior,4
3675,Irradiation tolerance,4
7952,Nanolaminates,4
4231,High-Temperature Oxidation,4
2279,Vacancy Exchange Potential,4
2880,Desorption Kinetics,4
1967,Magnetic interactions,4
3077,Irradiation Softening,4
1519,Corrosive-Wear Resistance,4
1789,Hydrogen Embrittlement Susceptibility,4
869,Hall-Petch coefficient,4
2421,Undercooling Degree,4
1446,Specific Hardness,4
1968,Second-phase Precipitates,4
1720,Fracture Load,4
2090,Porous Architecture,4
2874,Surface Properties,4
3059,Corrosive wear resistances,4
1640,Densities,4
2422, Sconf,4
1970,Enthalpy of Formation,4
1724,Compression stress,4
1725,Compression strain,4
618,Impact,4
2433,Vacancy Migration Energy,4
900,FCG Resistance,4
182,Reversible capacity,4
2533,Operation Temperature Range,4
2831,Anisotropy Factor,4
1276,Vacancy-type Defects,4
249,Equilibrium volume,4
1529,Vacancy Formation Energies,4
350,Compression ratio,4
1556,Solid Solubility,4
2723,Bubble Size,4
2943,Semiconductivity,4
2722,He Diffusion,4
2718,Mass Transport,4
637,Nanotwin,4
1133,XRD,4
3100,Heat capacities,4
631,Tribo-corrosion,4
2712,Maximum Shear Stress,4
1584,Fracture Ductility,4
2614,Grain sizes,4
1914,Magnetic saturation value,4
2406,Hysteresis Coefficient,4
1561,Cyclic Strain Localization,4
3086,Surface energy,4
615,Grain orientation,4
1069,Discharge capacity,4
2891,Elevated Temperature Properties,4
903,Slip Deformation,4
1493,Optical transmittance,4
1007,Soft-magnetic properties,4
2499,Antibacterial Efficiency,4
1491,Transparency,4
2497,RCP Values,4
1487,Milling Temperature,4
758,Cleavage Fracture,4
2659,Debye Temperatures,4
2473,Energy Absorption Efficiency,4
2015,Vacancy Energy,4
421,Peak strength,4
3001,Flux Pinning,4
753,Short-range order,4
746,S.S. formation tendency,4
2001,X-ray Diffraction,4
1627,Pop-in Width,4
1578,O,4
1015,Reversible Strain,4
2651,Fatigue Wear,4
2121,High-entropy,4
1771,Biocorrosion Resistance,4
2971,Magneto-structural Transition Temperature,4
2466,Solidification Morphology,4
210,Surface Morphologies,4
198,Fe2B,4
1987,Stacking Fault Probability,4
1285,Antifriction Properties,4
1988,Helium Irradiation Resistance,4
711,Total hemispherical emittance,4
611,Impact resistance,4
2449,Weight loss,4
902,Fatigue Crack Growth Resistance,4
2685,Unstable Twinning Fault Energy,4
2157,Interface Toughness,4
2847,Corrosion Behaviors,4
3030,Shear,4
2153,Dislocation loops,4
1076,Matrix,4
1879,Pugh's Ratio,4
1078,High-temperature Properties,4
1899, Tad,4
2682,Orientation Dependence,4
2676,Internal Defects,4
2812,Electrical Property,4
2890,Frictional Wear Properties,4
1808,Misfit,4
866,Grain-boundary Hardening,4
1668,Cell Adhesion,4
1677,Dehydrogenation kinetics,4
2555,Magnetic Phase Transitions,4
2760,C12,4
2597,Local Lattice Distortion,4
2315,- S,4
1685,Electronic properties,4
2320,Surface Tension,4
1922,Magnetoentropy Change,4
2381,Inverse Magnetic Entropy Change,4
2800,Semi-hard Magnetic Properties,4
2551,Work-hardening rate,4
30,Spheroidization,4
2757,Specific Stiffness,4
2801,X-ray diffraction,4
778,Remanent Magnetization,4
855,High melting point,4
2038,Oxide Formation,4
2601,Work Function Variations,4
1409,Anti-Corrosion Ability,4
2045,Cubic,4
263,Soft Magnetic Material,4
785,Pugh s Ratio,4
2581,Contact Angles,4
2577,Twin fault probability,4
2288,Cryogenic,4
2576,R.m.s. strain,4
2582,Spread Rates,4
2574,Phase Interface Strengthening,4
1415,Contact stress,4
2776,Nanomechanical Properties,4
1410,Optical Constants,4
1926,Precipitation-Strengthening,4
1927,Fine-Grain-Strengthening,4
673,Erosion-corrosion resistances,4
2772,Grain Boundary Density,4
991,Total elongation,4
1172,Electro-transport,4
2906,Instability,4
3160,Vacancy concentration,4
2046,Spherical,4
3124,Fracture surface analyses,4
3138,Equilibrium pressures,4
2116,Absorbance Selectivity,4
2355,Metallurgical Defects,4
1698,Protective Effect,4
945,Radiation tolerance,4
1944,Oxidation Rates,4
642,Hot corrosion resistance,4
1427,Plastic Deformation Capability,4
306,Hydrogenation Capacity,4
1814,Work Hardening Capability,4
1536,Electrochemical surface area,4
1036,Magnetic refrigeration capacity,4
2746,Casting Properties,4
1422,Granulometry,4
1465,Shielding Performance,4
1662,Electrochemical Corrosion,4
1663,Passive Behavior,4
1813,Volume Misfit,4
2348,Solidification Range,4
3123,Microstructural characterizations,4
1125,High-temperature mechanical properties,4
686,Homogenous Microstructure,4
1942,Al2O3 Layer,4
7395,Extrinsic Stacking Fault Energy,3
4031,High-Entropy Stabilization,3
2006,Nano-structuring,3
4016,Thermal-softening Resistance,3
4100,Tribo-oxide Layer,3
4149,Thermal cycling,3
7453,Impedance responses,3
4030,Synergistic Effect,3
4084,Stacking-Faults,3
445,Creep Property,3
5056,BCC solid solution,3
4083,Structural Damage,3
7954,Solute Diffusivity,3
1312,High-Temperature Background,3
5029,Austenitic transformation temperature,3
2590,Coarsening Behavior,3
5062,Enthalpy of hydrogen solution,3
2049,Surface Reconstruction,3
7397,Dislocation Multiplication,3
6932,Indentation Resistance,3
4133,TcA,3
4142,Wear Protection,3
7960,Cost Efficiency,3
5063,Enthalpy of hydride formation,3
5109,Pitting Susceptibility,3
7958,Consistency,3
5030,Thermal hysteresis,3
5031,Shape memory recovery strain,3
4071,Plastic Strains,3
5951,Deformation Coordination,3
4059,Cavitation erosion,3
5070,Laser Weldability,3
6272,Recycling Stability,3
6271,Photocatalytic Efficiency,3
5089,Work-Softening,3
5071,Dissimilar Weldability,3
6750,1:13 phase,3
5086,Catalytic Energy Barrier,3
6266,Anti-Radiation Performance,3
7947,Ultimate Stress,3
6756,RT compression tests,3
6267,Self-Healing,3
1092,Magnetization Difference,3
6757,HT compression tests,3
2628,Structural Relaxation Enthalpy,3
4110,High-Temperature Mechanical Properties,3
4064,Recrystallisation,3
7418,Atomic interactions,3
1316,Pore Diameter,3
7408,Metamagnetic,3
417,Discontinuous Dynamic Recrystallization,3
6277,Einstein Temperature,3
2036,Electrochemical Active Surface Area,3
7428,Magnetic Measurements,3
4132,TcM,3
4131,MT,3
7409,Charpy-impact Energies,3
4130,Transition Entropy Change,3
498,Twin Nucleation,3
7982,Nanocrystalline grains,3
801,Grain Merging,3
4039,Tracer Diffusion,3
800,Bending,3
799,Grain Boundary Slipping,3
7984,Irradiation response,3
795,Frictional Behavior,3
7983,Single-phase crystal structure,3
7964,Interface Defects,3
1506,Hexagonal Laves phase,3
7394,Intrinsic Stacking Fault Energy,3
6361,Dislocation Loop Formation,3
291,Hydrogen trapping capacity,3
3835,Wear behaviour,3
3836,Lattice Potential Energy Fluctuation,3
292,HE Susceptibility,3
3840, /   Structural Stability,3
3841,Ripening Resistance,3
1112,Amorphous Phase Formation,3
3846,Tensile Performance,3
308,Thermostabilities,3
8081,Heat Content,3
2749,Composite Structure,3
5244,Functional Properties,3
2743,Compression Behavior,3
2740,Spectral Emissivity,3
2738,Molecular Weight,3
8079,A2/B2 Ordering Transition,3
2735,Weight,3
3880,Catalysts,3
5213,n,3
3883,Catalytic properties,3
6706,Defect Accumulation,3
6951,High-Temperature Phase Stability,3
3893,Catalytic Current Density,3
7341,P Composition,3
3896,Uniform distribution,3
6360,Radiation-induced Precipitation,3
3828,Repassivation,3
1961,Annealing,3
5884,Lattice Thermal Expansion,3
3776,Displacement Energy,3
3777,Nanoscale Twins,3
8125,Critical,3
252,Electronic thermal excitation,3
5283,Radiation shielding,3
1931,Hardening Mechanisms,3
5874,Resistance to Fatigue Crack Growth,3
3791,Precipitated Phase Strengthening,3
8117,Absorption capability,3
3794,Velocity,3
3795,Desorption Temperature,3
1272,Interstitial clustering,3
5876,Twinning Structures,3
7294,Hydrogen coverage,3
7297,Brittle fracture mechanism,3
7298,Single-phase Stability,3
7299,Ductile-to-Brittle-Transition Temperature,3
7300,Ductile to-Brittle Transition Temperature,3
6695,Phase evolution,3
8102,Engineering Strain Rate,3
2765,Hydrogen Diffusion Rate,3
8101,Cross-section,3
8100,Gauge Length,3
2758,Elastic Softening Resistance,3
3823,Crystallographic texture,3
5909,Tribocorrosion Behavior,3
6709,Tensile property,3
6936,Stress Distribution,3
1505,Dendritic structures,3
6319,Isotropy,3
823,Binding Energies,3
2687,Power Dissipation,3
1287,Hardness-to-Elastic Modulus Ratio,3
1289,J-integral,3
2683,Twinning Fault Energy,3
1097,Clusters,3
369,Surface morphologies,3
8023,Density-of-state,3
2665,EMI shielding effectiveness,3
7378,Spin-glass Behavior,3
6729,Intermetallic Phase,3
815,Cohesion,3
1990,Shielding Effectiveness,3
3992,High frequency magnetic properties,3
3995,Dislocation Absorption,3
3998,Chemical inhomogeneity,3
3999,Al-rich precipitates,3
4000,Annealing twins,3
6734,Multi-phase Microstructure,3
6301,Phase compositions,3
4007,OER Catalysis,3
5127,Semiconducting Properties,3
1480,Work Hardening Behavior,3
5941, EO,3
8037,Elevated-Temperature Strength,3
7455,Ohmic resistance,3
3903,Microstructure Homogeneity,3
1507,BCC structure,3
6710,Solid solutions,3
2707,Temperature Coefficient of Resistivity,3
1966,Annealing Temperature,3
1108,Superplastic Behavior,3
363,Metastable Phase Separation,3
1101,Strengthening Precipitates,3
6715,Erosion rates,3
2283,Structural Changes,3
5191,Dislocation Pilling-up,3
5187,Discharge Current Capacity,3
1281,Lamellar Structure,3
6718,Hot Corrosion,3
5915,Grain,3
5184,Compressive Fracture,3
3930,Martensitic Phase Transformation,3
3931,Zener anisotropy ratio,3
6719,Self-Corrosion Current Density,3
5179,Phase fractions,3
6327,Semi-conductive property,3
2690,Slip Reversibility,3
1980,Critical temperature,3
7358,Strain-Rate Sensitivity Exponent,3
2688,Instability Parameter,3
5168,Elemental distributions,3
1508,Low thermal diffusivity,3
7454,Electrode polarization resistance,3
4963,Decolorisation Efficiency,3
5024,Fracture strains,3
1432,Friction Performance,3
2414,Cr Segregation,3
2412,Element Diffusion,3
4490,Twin Growth,3
6059,Liquidity,3
6871,Elastic Isotropy,3
6061,Depletion,3
4496,Passive Window,3
2404,Hydrogen Transfer Rate,3
6835,Saturation Polarization,3
6063,Indentation Compressive Yield Stress,3
2402,Activation Difficulty,3
4765,Degradation Rate,3
4506,TGO Spallation Resistance,3
2391,Passive Film Growth,3
2217,Fracture Morphologies,3
4510,Nanoprecipitates,3
4511,Fine Grain Size,3
1390,Nanovoids,3
4515,Grain Boundary Hardening,3
4516,Boride,3
7730,Fatigue Ratios,3
4519,Intergranular Cracking,3
2219,Bend Strength,3
641,Phase Interface,3
4522,Energy Release Velocity,3
4523,Energy Release Intensity,3
4524,Reactive Heat,3
4756,Adiabatic Temperature Changes,3
690,Lattice Structure,3
4485,Resistivities,3
700,Maximum Strain,3
6056,Corrosion characteristics,3
4815,Magnetic Contributions,3
6890,Solid solution hardening,3
2443,Crack-initiation Toughness,3
6818,EC Effect,3
6035,Phonon Thermal Conductivity,3
2178,Aspect Ratio,3
2441,Creep Performance,3
6885,Mott-Schottky,3
4427,Bulk Sound Velocity,3
6884,Corrosion morphologies,3
7777,TOECs,3
2185,Spinodal structure,3
7570,Fine Grains,3
4436,Nf,3
6166,Dislocation Walls,3
4782,Vickers Micro-hardness,3
6881,Shear Punch Strength,3
2198,Reduced modulus,3
6828,Absorption Efficiency,3
1061,Anti-oxidation,3
4461,Low-temperature modification,3
4798,Phase Complexity,3
